id,title,slug,created_at,content
1,Cuaca Cerah di Sejumlah Kota di Indonesia Sambut Hari Pertama 2022,cuaca-cerah-di-sejumlah-kota-di-indonesia-sambut-hari-pertama-2022,1/1/2022 0:43,"Badan Meteorologi, Klimatologi dan Geofisika ( BMKG ) memprakirakan kondisi cuaca di beberapa kota di Indonesia secara umum dinaungi awan cerah dan berawan pada hari pertama Tahun Baru 2022, Sabtu (1/1/2022). Berdasarkan pengamatan situasi cuaca BMKG, cuaca cerah mendominasi wilayah perkotaan sejak malam pergantian tahun. Wilayah perkotaan dengan kondisi cerah dan berawan, di antaranya Kota Medan, Jakarta, Pangkalpinang, Mamuju, Padang, Semarang, Surabaya, Denpasar, Makassar, Ambon, dan Jayapura. Kondisi hujan ringan hingga sedang diprakirakan melanda sebagian wilayah Serang, Bengkulu, Yogyakarta, Gorontalo, Bandung, Jambi, Pontianak, Palangkaraya, Samarinda, Tarakan, Tanjung Pinang, Bandar Lampung, Ternate, Medan, dan Mataram. Situasi hujan petir diprakirakan terjadi di Pekanbaru pada malam hari, Manokwari, Banda Aceh, Ambon, dan Kupang pada siang hari. Suhu di kota besar rata-rata antara 20 hingga 34 derajat Celsius dengan tingkat kelembapan bervariatif antara 60 hingga 100 persen. Masyarakat di sejumlah wilayah diimbau untuk mewaspadai dampak tidak langsung dari siklon tropis Rai terhadap kondisi cuaca di wilayah Indonesia berupa potensi hujan dengan intensitas sedang hingga lebat. Awan hujan diprediksi bergerak ke wilayah Sulawesi Tengah, bagian utara Gorontalo, Sulawesi Utara, Maluku Utara, dan Papua Barat. Masyarakat juga perlu waspada adanya potensi hujan lebat disertai angin kencang di sejumlah wilayah Aceh, di antaranya Bireun, Aceh Tamiang, Langsa, Aceh Timur, Aceh Utara, dan Aceh Selatan."
2,"Harga Mobil Listrik Mahal, China Malah Potong Subsidi 30 Persen",harga-mobil-listrik-mahal-china-malah-potong-subsidi-30-persen,1/1/2022 1:16,"Pemerintah China akan memotong subsidi kendaraan energi baru (new energy vehicle/NEV), termasuk mobil listrik, sebesar 30 persen mulai tahun 2022. Melansir Reuters pada Sabtu (01/01), Kementerian Keuangan China menyatakan bahwa kebijakan subsidi untuk NEV akan berakhir pada 31 Desember 2022, dan setelahnya tidak akan ada subsidi untuk kendaraan jenis itu. Pada April 2020, pemerintah menyatakan bahwa subsidi untuk NEV akan kena pangkas pada periode 2020 hingga 2022 masing-masing sebesar 10 persen, 20 persen dan 30 persen. Adapun subsidi mobil listrik untuk angkutan umum juga dipotong sebesar 10 persen pada 2021 dan 20 persen pada tahun 2022. China sebagai pasar mobil terbesar di dunia menerapkan kebijakan subsidi untuk meningkatkan penjualan mobil ramah lingkungan, yakni 20 persen dari total penjualan pada 2025. Sejalan dengan upaya peningkatan penjualan, Pemerintah China juga menyatakan akan memperketat pengawasan masalah keamanan untuk mencegah kecelakaan pada mobil NEV. Asosiasi Produsen Mobil China memperkirakan penjualan NEV di China akan tumbuh sebesar 47 persen menjadi 5 juta unit pada 2021. Pengembangan mobil listrik China Mobil listrik buatan China memang cukup terkenal di kancah otomotif global dengan menyasar konsumen yang mencari mobil listrik dengan harga yang lebih terjangkau terlebih dengan yang┬á buatan Tesla. Mobil-mobil listrik buatan China memang lebih identik dengan kecepatan yang rendah dan desain bodi yang lebih mungil dan kompak. Rencan pengembangan mobil listrik yang masih hingga saat ini memungkinkan China untuk melahirkan produk-produk mobil listrik yang berkualitas. Ada banyak produsen mobil listrik di Cina, sebut saja Nio, dan juga Baojun atau yang kita kenal di Indonesia dengan nama Wuling. Baojun sendiri akan segera meluncurkan salah satu produk mobil listriknya di Indonesia, yakni Baojun E100 pada tahun lalu. Tetapi sayangnya, minat masyarakat Indonesia terhadap mobil listrik seperti ini memang masih rendah. Terbukti, di jalanan di seluruh Indonesia, masih sangat jarang kita lihat adanya mobil bertenaga listrik. Di Indonesia, platform GSEV memiliki potensi di segmen kendaraan listrik. Wuling melihat kebiasaan berkendara di Indonesia melakukan untuk kebutuhan komuter dengan jarak yang relatif tidak jauh dan berkendara dengan maksimal empat penumpang. Persepsi masyarakat terhadap mobil listrik pun terbilang positif sebagai transportasi ramah lingkungan."
3,"Sudah Tayang di Indonesia, Ini Sinopsis Film Animasi Disney RonÔÇÖs Gone Wrong",sudah-tayang-di-indonesia-ini-sinopsis-film-animasi-disney-rons-gone-wrong,1/1/2022 3:22,"The 20th Century Studios dan Locksmith Animation merilis ÔÇ£RonÔÇÖs Gone WrongÔÇØ yang tayang di bioskop Indonesia untuk menemani tahun baru 2022. Dikutip dari keterangan resminya pada Sabtu, film ini berkisah tentang persahabatan unik dan penuh haru antara Barney, seorang siswa sekolah menengah pertama, dan Ron, sebuah perangkat digital yang dapat berjalan dan berbicara. ÔÇ£Ron's Gone WrongÔÇØ menampilkan suara Zach Galifianakis sebagai Ron, Jack Dylan Grazer sebagai Barney, serta sutradara oleh Jean-Philippe Vine, Sarah Smith, dan Octavia Rodriguez. Barney Pudowski adalah siswa menyenangkan namun canggung dan kesulitan mencari teman. Ia juga tidak memiliki satu hal yang menjamin popularitas di sekolahnya: sebuah perangkat digital B*Bot yang dapat berjalan, berbicara, serta terhubung secara digital untuk menjadi solusi sempurna untuk menavigasi tantangan sosial di sekolah. B*Bot memiliki slogan Best Friend Out of The Box, di mana perangkat ini menjamin bahwa pemiliknya tidak perlu khawatir lagi dalam mencari teman. Menyadari bahwa satu-satunya harapan Barney untuk ulang tahunnya adalah memiliki B*Bot, Ayah Barney mengejutkannya dengan B*Bot bernama Ron. Kisah seru Barney berawal dari malfungsi yang terjadi saat ia mencoba untuk mengaktifkan Ron. Terjadi kerusakan sistem yang membuat Ron tidak terlihat ÔÇÿcanggihÔÇÖ seperti B*Bot lain. Namun, tidak seperti B*Bot lainnya, Ron sangat setia dan selalu bertekad untuk mendukung Barney dengan cara unik. Duo ini menjalin persahabatan nyata yang menembus batas-batas sistem teknologi. Fenomena B*Bot yang ÔÇÿberbedaÔÇÖ ini sampai di telinga Andrew Morris, COO dari perusahaan teknologi perancang B*Bot yang ingin membawa Ron kembali ke pabriknya. OST Dengan segala kekuatannya, Barney bertekad untuk menjaga Ron dan ingin membuktikan bahwa terkadang sesuatu yang ÔÇÿsalahÔÇÖ bisa menjadi ÔÇÿbenarÔÇÖ. ""Saya ingin setiap film bisa menjadi pesan dari saya untuk anak saya. Sebagian dari kepribadian Ron terinspirasi dari hal-hal yang ingin saya katakan kepada putri saya yang duduk di tempat tidurnya di malam hari ketika ia khawatir akan tidak memiliki teman,"" kata sutradara, penulis, dan produser eksekutif Sarah Smith. ""Saya ingin mengatakan 'tidak apa-apa...hanya karena kamu tidak memilikinya sekarang bukan berarti teman itu tidak akan datang.' Inilah dasar dari kepribadian Ron: hal-hal yang Anda ingin anak Anda pahami sehingga mereka tidak harus melewati semua rasa sakit dan penderitaan saat mereka tumbuh dewasa,"" imbuhnya. ÔÇ£Ron's Gone WrongÔÇØ juga menampilkan suara Olivia Colman sebagai Donka, Ed Helms sebagai Ayah Barney Graham Pudowski, Justice Smith sebagai Marc Wydell; Rob Delaney sebagai Andrew Morris; Kylie Cantrall sebagai Savannah Meades; Ricardo Hurtado (""School of Rock"" TV"") sebagai Rich; Marcus Scribner (ÔÇ£Black-ishÔÇØ) sebagai Alex; dan Thomas Barbusca (ÔÇ£ChadÔÇØ) sebagai Jayden. Selain itu, penyanyi berbakat ternama Liam Payne juga ambil bagian menjadi pengisi soundtrack dengan lagu berjudul ""Sunshine"" yang sudah tersedia bagi para penggemar di seluruh dunia. Untuk trailernya bisa disimak pada video berikut:"
4,"Awali Tahun Baru 2022, Gubernur Anies Sampaikan Semangat Optimisme",awali-tahun-baru-2022-gubernur-anies-sampaikan-semangat-optimisme,1/1/2022 4:12,"Mengawali tahun 2022, Gubernur DKI Jakarta Anies Baswedan menyampaikan semangat optimisme kepada warga Jakarta. Anies mengajak semua pihak terus berkolaborasi dalam membangun Jakarta ke depan. ""Hampir dua tahun kita bertarung melawan pandemi, masa yang penuh perjuangan, menguras energi, dan di dalam banyak hal kita banyak kehilangan saudara, teman, tetangga, insyaAllah kita siap bangkit memasuki tahun 2022,"" kata Anies dalam tayangan video Pemprov DKI Jakarta, Sabtu (1/1/2022). Dengan semangat kolaborasi, Anies mengungkapkan tahun 2022 bisa menjadi tahun kebangkitan ekonomi dan kebangkitan sosial masyarakat. ""Alhamdulillah kondisi sekarang jauh terkendali, dan insyaAllah kita akan bisa membuat kebangkitan. Bukan saja mengenai masalah kesehatan, tapi juga ekonomi, sosial dan budaya,"" ujarnya. ""Kekuatan yang kita miliki, dan kita bisa melewati ini semua tidak lepas dari semangat kolaborasi. Semangat partisipasi aktif dari semua komponen masyarakat, termasuk ikut menjaga protokol kesehatan,"" imbuhnya. Untuk mewujudkan kebangkitan ekonomi, kesehatan, sosial, dan budaya, sambung Anies, Indonesia telah mempunyai bekal kerja sama, saling bahu membahu menangani pandemi COVID-19. ""Yang membuat kita optimis menyambut tahun 2022 adalah keyakinan bawa apa yang sudah kita kerjakan selama ini, InsyaAllah akan bisa mejadi bekal melewati tahun depan. Capaiannya ada selama ini, insyaAllah menjadi modal untuk bisa meningkatkan capaian di tahun yang akan datang,"" tuturnya. Anies juga mengungkapkan vaksinasi terhadap warga Jakarta yang mencapai lebih dari 100 persen. Hal tersebut juga menjadi modal dalam menyambut kebangkitan ekonomi, sosial, dan budaya di tahun 2022. ""Alhamdulillah vaksinasi Jakarta telah lebih 125 persen dan insyaAllah kita sekarang sedang mengejar vaksinasi anak-anak 5-11 tahun. Ini kerja kolektif, semua pihak terlibat. InsyaAllah kita akan terus bisa sama-sama merasakan kota yang maju dan warga yang bahagia, sekali lagi atas nama Pemrov DKI, selamat tahun baru 2022, salam hangat dari Balai kota,"" tandas Anies."
5,"Mimpi Bangun Stadion Jakarta Terwujud, Sutiyoso: Terima Kasih Anies",mimpi-bangun-stadion-jakarta-terwujud-sutiyoso-terima-kasih-anies,1/1/2022 4:23,"Mantan Gubernur DKI Jakarta, Sutiyoso mengucapkan terima kasih kepada Anies Baswedan . Pasalnya mimpinya bangun stadion sepak bola bertaraf internasional untuk markas Persija Jakarta baru terwujud saat Anies menjabat Gubernur DKI. Stadion tersebut adalah Jakarta Internasional Stadion ( JIS ) atau Stadion BMW di Jakarta Utara. ""Tentu saja saya terima kasih Anies. Ini salah satu mimpi saya,"" kata Sutiyoso dalam kanal YouTube Karni Ilyas Club, dikutip Sabtu (1/1/2021). Sutiyoso menceritakan saat menjadi Gubernur DKI┬ápada 1997 silam, klub Persija belum memiliki stadion. Kondisi tersebut juga membuat banyak pihak tidak memperhitungkan klub sepak bola Indonesia yang berbasis di Jakarta itu. Ia lalu berupaya mencari lahan dan mendapatkan sebidang tanah di Taman BMW, Jakarta Utara jelang akhir masa jabatannya 2006 lalu. Usaha itu tidak sia-sia, Anies akhirnya berhasil membangun mimpinya bangun stadion. Sutiyoso juga mengaku sangat gembira dengan gebrakan Anies, karena sudah membangun stadion berstandar internasional. ""Nah sekarang di bangun Anies itu JIS. Saya gembira. Saya sudah sempatkan ninjau ke sana. Tapi memang belum 100 persen pembangunannya,"" kata Sutiyoso. Seperti berita sebelumnya, Gubernur Anies Baswedan menunaikan janji politik saat Pilgub DKI 2019. Yakni membangun stadion megah bertaraf internasional Jakarta International Stadium (JIS). Rencananya, JIS yang juga stadion sepak bola berkapasitas 82.000 penonton ini, menjadi kandang Persija Jakarta. JIS adalah stadion pertama di Indonesia yang memperoleh sertifikat green building level platinum, yakni predikat bangunan yang ramah lingkungan level tertinggi. Kabarnya, stadion ini adalah yang terbesar di Asia yang tersambung dengan jalur kereta. Lantaran, stadion ini menggunakan rumput hybrid sesuai standar FIFA. Baik pada stadion utama, maupun dua Lapangan Latih JIS yang telah diresmikan pada 28 Desember 2020 itu."
6,Sutiyoso Puji Anies Baswedan Berhasil Tangani COVID-19 di Ibu Kota,sutiyoso-akui-anies-baswedan-berhasil-tangani-covid-19-di-ibu-kota,1/1/2022 5:20,"Mantan Gubernur DKI Jakarta , Sutiyoso┬á puji Anies Baswedan karena berhasil menangani pandemi COVID-19.┬á Pemprov DKI lewat kepemimpinan Anies Baswedan bekerja keras menekan angka kematian dan penyebaran di Ibu Kota. Buktinya kondisi di Jakarta semakin membaik, akibat COVID-19 terus melandai. ""Penyebaran bisa kita rem. Kematian juga makin amat kecil. Ini menurut saya cukup berhasil,"" kata Sutiyoso dalam kanal YouTube Karni Ilyas Club, dikutip Sabtu (1/1/2022). Sutiyoso puji┬á Anies Baswedan lagi lantaran berhasil untuk melanjutkan proyek moda integrasi transportasi. Dia mengklaim itu adalah program yang sempat ia gembor-gemborkan. Tepatnya ketika masih menjabat sebagai Gubernur DKI Jakarta. Baginya, integrasi berbagai transportasi itu membuat warga Jakarta beralih menggunakan transportasi umum secara rasional. Mengingat harganya terjangkau dan aksesnya pun meluas. ""Ada 4 moda, bawah tanah ada monorel ganti LRT. Nanti ada water way tapi sekarang belum. Ada busway. Itu terintegrasi satu sama lain,"" kata dia. Pada kesempatan yang sama Sutiyoso pun menyoroti waktu Anies menjabat Gubernur DKI yang akan berakhir pada 16 Oktober 2022 mendatang, kerap mendapat banyak serangan negatif. Padahal baginya Anies telah bekerja maksimal. Tetapi, dia tak menampik serangan dan manuver politik terhadap Anies, imbas dari namanya kerap mencuat dalam berbagai hasil survei sebagai calon presiden 2024. ""Saya harap dia selalu kerja. Belum selesai ya selesaikan saja. Aku punya pengalaman pahit seperti itu. Dulunya kan Monorel. Sekarang LRT di lanjutkan, alhamdulillah dilanjutkan. Kan terasa manfaatnya,"" ucap Sutiyoso."
7,Belasan Orang Tewas Terinjak di Kuil Kashmir India,belasan-orang-tewas-terinjak-di-kuil-kashmir-india,1/1/2022 6:24,"Dua belas peziarah tewas dan belasan lainnya terluka akibat terinjak-injak di sebuah kuil Hindu di Kashmir, India. Insiden nahas tersebut terjadi pada Sabtu (1/1/2022) pagi ""Sebanyak 12 peziarah meninggal dan 14 lainnya terluka dalam sebuah insiden di kuil Mata Vaishno Devi pagi ini,"" kata petugas polisi Mukesh Singh. Laporan Reuters , semua korban luka dibawa ke rumah sakit. Insiden itu terjadi ketika kerumunan besar datang untuk menyambut awal tahun baru, memasuki kuil Vaishno Devi Bhawan. Perdana Menteri India Narendra Modi memastikan pengusutan insiden ini melalui sebuah penyelidikan tingkat tinggi."
8,"Garap Proyek Setrum 2021, Brankas PLN Dijebol Rp87,7 Triliun",garap-proyek-setrum-2021-brankas-pln-dijebol-rp877-triliun,1/1/2022 6:24,"Berbagai proyek PLN di 2021 itu, bertujuan untuk meningkatkan keandalan dan pemerataan listrik di Indonesia sepanjang tahun 2021. ""Sepanjang 2021, kami membangun infrastruktur kelistrikan berupa pembangkit listrik, gardu induk dan transmisi dengan total sebanyak 175 infrastruktur,"" kata Direktur Utama PLN, Darmawan Prasodjo di Jakarta, Sabtu (1/1/2022). Darmawan menjelaskan, PLN akan terus memperkuat dan memperluas jangkauan listrik di Tanah Air guna memenuhi kebutuhan masyarakat, menarik investasi hingga pengembangan bisnis agar dapat menciptakan lapangan kerja serta menggerakkan roda perekonomian. Dia menyampaikan proses pembangunan infrastruktur tersebut tidak terlepas dari sejumlah tantangan, di antaranya pandemi COVID-19 serta kondisi geografis daerah 3T yang sulit diakses, sehingga perlu upaya khusus untuk membawa material dan peralatan. ""Kami terus berupaya mengurai tantangan yang dihadapi dalam pembangunan infrastruktur kelistrikan, terlebih di tengah pandemi COVID-19 yang membuat kegiatan menjadi terbatas. Keberhasilan ini juga tak terlepas dari dukungan banyak pihak, baik ditingkat pusat maupun daerah,"" ujar Mas Darmo, sapaan Darmawan Prasodjo yang juga kader PDI Perjuangan itu. Direktur Mega Proyek dan Energi Baru Terbarukan PLN Wiluyo Kusdwiharto merinci infrastruktur jaringan kelistrikan yang dibangun dan telah energize pada 2021, yakni berupa transmisi sebanyak 78 infrastrukur sepanjang 3.924 kilometer sirkuit (kms) yang terdiri dari Saluran Udara Tegangan Tinggi (SUTT), Saluran Udara Tegangan Ekstra Tinggi (SUTET), dan Saluran Kabel Tegangan Tinggi (SKTT). Total investasi yang dikeluarkan PLN untuk membangun infrastruktur yang berfungsi mengalirkan listrik tersebut mencapai Rp11,5 triliun. Dalam membangun transmisi, PLN memenuhi Tingkat Komponen Dalam Negeri (TKDN) dengan besaran rata-rata tertinggi dibanding gardu induk dan pembangkit listrik. Capaian TKDN bervariasi sebagian besar pada kisaran antara 60 persen sampai dengan 84,52 persen yang dicapai pada SUTT 150 kV Balaraja - Suvarna Sutra. Sedangkan capaian TKDN infrastruktur transmisi juga terdapat pada SKTT. Saluran Kabel TT Plumpang-Kandang Sapi tercapai sebesar 75,34 persen. Adapun infrastruktur gardu induk, PLN telah berhasil menambah pengoperasian 62 unit di seluruh Indonesia dengan nilai investasi mencapai Rp3,66 triliun pada tahun lalu. ""Dengan dibangunnya infrastruktur kelistrikan ini semakin banyak kawasan yang akan mendapat pasokan listrik,"" ucap Wiluyo. Dalam membangun gardu induk PLN juga memenuhi aspek TKDN yang selalu memaksimalkan seluruh produk kelistrikan nasional mulai dari kabel sampai trafo. Capaian TKDN gardu induk memiliki besaran yang berkisar dari 23,90 persen sampai 79,88 persen dengan tertinggi pada GIS Plumpang. Infrastruktur jaringan kelistrikan tersebut akan mengalirkan listrik dari sejumlah pembangkit. Pada 2021, PLN membangun 35 unit pembangkit telah beroperasi dan memasok ke sistem jaringan dengan total kapasitas 2.498 megawatt. Perseroan bekerja sama dengan pihak swasta (IPP) dalam membangun pembangkit tersebut dan berinvestasi sebanyak Rp72,62 triliun. Proyek kerja sama ini terdiri dari delapan unit Pembangkit Listrik Tenaga Uap (PLTU), empat unit PLTGU dan PLTMG/PLTMGU, 16 unit PLTM, dua unit PLTP, dua unit PLTA, dua unit PLTBg, dan satu unit dan PLTSa. Dalam pembangunan pembangkit listrik tersebut, pembangkit energi baru terbarukan pada PLTM Gunung Wugul menjadi pembangkit dengan pemenuhan TKDN tertinggi sebesar 83,75 persen. ""Kami berkomitmen memberikan kesempatan penyedia barang dan jasa dalam negeri untuk berpartisipasi dalam pembangunan infrastruktur kelistrikan sehingga memenuhi TKDN yang ditetapkan pemerintah,"" pungkas Wiluyo."
9,"Fahri Hamzah Vs Fadli Zon, Pecah Kongsi Soal Prajurit TNI Datangi Habib Bahar?",fahri-hamzah-vs-fadli-zon-peca-kongsi-soal-prajurit-tni,1/1/2022 7:00,"Fahri Hamzah Vs Fadli Zon, pecah kongsi? Pertanyaan ini timbul tatkala dua politisi yang biasa akrab itu berbeda menyoroti┬áprajurit TNI yang mendatangi kediaman Habib Bahar. Berawal dari Anggota DPR RI, Fadli Zon menyinggung soal tugas pokok dan fungsi TNI. Menyusul ada anggota TNI yang mendatangi kediaman Habib Bahar bin Smith, mengarahkan agar segera datang ke Polda Jabar. ""Seharusnya aparat TNI bisa memahami tupoksinya,"" ujar Fadli Zon, dikutip┬á┬ádari cuitan di akun Twitter pribadinya @fadlizon, Sabtu (1/1/2022). Dia juga menilai tindakan prajurit TNI mendatangi Habib Bahar bin Smith sudah melewati batas. Baginya hal itu tidak seharusnya terjadi. TNI pun jangan sampai kembali bersentuhan dengan masalah sipil. Mengingat Polda Jabar sudah menangani laporan terhadap Habib Bahar. Sementara itu tampk Wakil Ketua Umum (Waketum) Partai Gelora Fahri Hamzah menanggapi pernyataan Fadli Zon. Fahri justru menyalahkan para anggota DPR. Lewat media sosial Fahri juga meminta Fadli Zon yang sama seorang anggota DPR RI untuk bangkit. ""Udah bahaya dari dulu kale. Ini karena kawan-kawan ente di @DPR_RI kebanyakan potong gaji dan jadi penyalur sembako. Tugasnya apa sibuknya apa. Ayo bro 2022 bangkit,"" tulis Fahri dalam media sosial. Seperti pemberitaan sebelumya, tampak sejumlah anggota TNI mendatangi Pondok Pesantren Tajul Alawiyyin di Kecamatan Kemang, Kabupaten Bogor. Tepatnya kediaman Habib Bahar bin Smith pada Jumat (31/12/2021) pagi. Kabarnya Komandan Korem (Danrem) 061/Suryakancana Brigadir Jenderal (Brigjen) TNI Achmad Fauzi yang memimpin rombongan TNI itu. Saat berdialog Brigjen Fauzi meminta Bahar untuk mendatangi Polda Jabar. Kedatangan mereka direkam dalam sebuah video amatir yang diunggah chanel Youtube dan kemudian viral di media sosial."
10,CDC: Gejala Infeksi Omicron Muncul Setelah Tiga Hari,cdc-gejala-infeksi-omicron-muncul-setelah-tiga-hari,1/1/2022 7:00,"Varian Omicron kemungkinan punya masa inkubasi yang lebih pendek ketimbang Delta dan varian COVID-19 lainnya, demikian ungkap Pusat Pengendalian dan Pencegahan Penyakit AS atau Centers for Disease Control and Prevention (CDC). Menurut CDC, hanya perlu tiga hari bagi orang yang terinfeksi varian Omicron untuk menunjukkan gejala. Sebuah penelitian yang diterbitkan sebagai rilis awal untuk Morbidity and Mortality Weekly Report (MMWR) CDC pada awal pekan ini, menyelidiki enam kasus dugaan infeksi Omicron yang semuanya dalam rumah tangga yang sama. Mengutip Health , menurut CDC, kecurigaan varian Omicron muncul karena pasien yakni seorang pria berusia 48 tahun baru saja kembali dari Nigeria. Setelah pengujian reverse transcriptionÔÇôpolymerase chain reaction (RT-PCR) dan whole genome sequencin sample , setiap anggota keluarga ditemukan terinfeksi varian Omicron. Hanya satu anggota dalam rumah tangga yang divaksinasi lengkap; sisanya tidak divaksinasi dan sebelumnya memiliki COVID-19 atau gejala yang terkait dengan penyakit tersebut. Melalui penyelidikan lebih lanjut, CDC dan Departemen Kesehatan Nebraska menentukan masa inkubasi rata-rata atau waktu rata-rata antara paparan dan timbulnya gejala yakni hanya 73 jam atau sekitar tiga hari. Menurut CDC, ini lebih pendek dari masa inkubasi sekitar empat hari untuk varian Delta, dan masa inkubasi sekitar lima hari untuk varian COVID-19 lainnya. Data CDC bukan satu-satunya informasi yang menunjukkan masa inkubasi yang lebih pendek untuk Omicron. Menurut sebuah studi dari Institut Kesehatan Masyarakat Norwegia (NIPH), peserta pesta Natal yang diadakan di Oslo juga mengembangkan gejala COVID-19 varian Omicron dalam tiga hari. Data menunjukkan, dari 111 peserta pesta Natal yang sebagian besar divaksinasi lengkap, sebanyak 73 persen didiagnosis dengan COVID-19, dengan asumsi kebanyakan orang yang sakit terinfeksi varian Omicron. ┬á"
